Bus Stop Name,Rajiv Gandhi,Mata Gujri,Vishnupuri,Bhanwarkuan Square,Holkar Subway,Navlakha Square,Indra Pratima,GPO,Shivaji Vatika,AICTSL,Geeta Bhawan,Palasiya,Industry House,LIG,Press Complex,MR-9,Vijay Nagar,Satya Sai,Shalimar Township,Scheme No. 78,Niranjanpur Square
Distance (in km),0,0.75,1.2,1.7,2,3,3.3,3.7,4.4,4.9,5.4,6.1,6.6,7.2,7.5,8.2,8.9,9.5,10.4,10.9,11.4
Rajiv Gandhi,0,2,1,10,3,8,5,5,4,4,8,16,6,8,3,10,8,3,4,7,4
Mata Gujri,2,0,2,5,1,5,3,6,2,4,4,7,3,5,2,7,4,3,3,2,3
Vishnupuri,2,1,0,6,2,4,3,4,2,3,3,7,0,5,1,3,4,1,2,2,2
Bhanwarkuan Square,12,7,5,0,6,34,12,34,9,14,44,54,10,47,8,47,40,7,6,17,12
Holkar Subway,3,2,2,8,0,5,4,6,2,5,4,7,2,10,1,4,4,2,2,4,4
Navlakha Square,10,6,3,60,6,0,16,32,5,13,56,32,13,31,7,70,21,4,7,9,5
Indra Pratima,8,3,1,17,3,13,0,11,1,6,11,13,3,17,5,15,7,4,4,5,5
GPO,11,4,3,34,7,28,13,0,5,13,33,32,3,20,6,31,25,3,4,9,12
Shivaji Vatika,5,1,1,12,3,5,6,6,0,4,10,8,4,8,1,10,3,2,3,3,2
AICTSL,4,2,3,12,4,9,11,13,3,0,15,7,6,15,3,12,6,3,4,7,4
Geeta Bhawan,3,5,6,71,4,74,19,37,7,12,0,64,7,50,10,81,34,7,8,11,13
Palasiya,17,7,6,84,3,47,22,33,9,17,42,0,12,23,10,19,19,9,8,12,10
Industry House,3,3,0,15,3,15,4,12,4,6,17,4,0,4,4,8,7,2,5,5,5
LIG,15,5,3,55,6,45,9,41,9,14,7,49,11,0,9,25,32,4,7,7,8
Press Complex,0,3,2,10,3,8,6,4,3,4,10,6,2,9,0,9,7,3,2,3,4
MR-9,10,2,3,41,6,61,10,37,8,13,57,47,11,48,6,0,24,5,10,13,14
Vijay Nagar,13,5,2,23,5,30,9,28,6,15,38,48,6,30,5,37,0,3,6,4,8
Satya Sai,2,2,1,6,2,6,2,6,1,3,8,6,3,8,3,4,6,0,1,2,2
Shalimar Township,5,2,1,7,2,10,4,7,2,2,9,8,3,6,2,5,9,2,0,1,3
Scheme No. 78,6,2,2,18,5,8,5,9,6,6,9,10,6,10,5,8,8,3,2,0,5
Niranjanpur Square,4,2,3,7,4,9,6,9,4,9,17,12,8,16,3,7,7,2,4,6,0
